"timestamp","symbol","base","price"
"2018-01-01 00:00:00+00","DATA","USD","0.216100000000000000"
"2018-01-01 00:00:00+00","AE","USD","1.280000000000000000"
"2018-01-01 00:00:00+00","LNK","USD","40.910000000000000000"
"2018-01-01 00:00:00+00","GRID","USD","0.945300000000000000"
"2018-01-01 00:00:00+00","ART","USD","0.631900000000000000"
"2018-01-01 00:00:00+00","ELF","USD","0.000000000000000000"
"2018-01-01 00:00:00+00","EQC","USD","0.000000000000000000"
"2018-01-01 00:00:00+00","LEND","USD","0.165000000000000000"
"2018-01-01 00:00:00+00","WLK","USD","0.000000000000000000"
"2018-01-01 00:00:00+00","DOV","USD","0.309300000000000000"
"2018-01-01 00:00:00+00","RHOC","USD","0.000000000000000000"
"2018-01-01 00:00:00+00","ICX","USD","5.990000000000000000"
"2018-01-01 00:00:00+00","POW","USD","0.000000000000000000"
"2018-01-01 00:00:00+00","MKR","USD","1020.870000000000000000"
"2018-01-01 00:00:00+00","ARN","USD","0.984300000000000000"
"2018-01-02 00:00:00+00","WETHD","USD","0.000000000000000000"
"2018-01-02 00:00:00+00","MKRD","USD","0.000000000000000000"
"2018-01-02 00:00:00+00","REP","USD","78.210000000000000000"
"2018-01-02 00:00:00+00","ZRX","USD","0.893900000000000000"
"2018-01-02 00:00:00+00","DGD","USD","176.100000000000000000"
"2018-01-02 00:00:00+00","LUN","USD","25.260000000000000000"
"2018-01-02 00:00:00+00","MLN","USD","152.260000000000000000"
"2018-01-02 00:00:00+00","QTUM","USD","53.220000000000000000"
"2018-01-02 00:00:00+00","EOS","USD","8.300000000000000000"
"2018-01-02 00:00:00+00","ICN","USD","2.850000000000000000"
"2018-01-02 00:00:00+00","PAY","USD","4.200000000000000000"
"2018-01-02 00:00:00+00","OMG","USD","20.140000000000000000"
"2018-01-02 00:00:00+00","GNO","USD","260.260000000000000000"
"2018-01-02 00:00:00+00","ANT","USD","4.560000000000000000"
"2018-01-02 00:00:00+00","STORJ","USD","2.340000000000000000"
"2018-01-02 00:00:00+00","SNT","USD","0.316600000000000000"
"2018-01-02 00:00:00+00","BNT","USD","5.880000000000000000"
"2018-01-02 00:00:00+00","BAT","USD","0.562600000000000000"
